,scaffold,frequency
454,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1,1
455,O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21,1
456,O=C1C(=O)c2ccccc2C=C1C1CCC(c2ccccc2)CC1,1
457,O=C(NC1CCNCC1)c1cccc2c1OCC2,1
458,c1ccc2c(c1)Cc1ccccc1O2,1
459,c1ccc2c(c1)CC1NC2Cc2c1ccc1c2OCO1,1
460,c1ccc(NCc2ccc3ncncc3c2)cc1,1
461,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1
462,O=C(NCC1CCCN1)c1ccccc1,1
463,O=C1C=CC2C(=C1)CCC1C2[CH]CC2C[CH]CC21,1
464,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,9
465,c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1,1
466,C1=CC(c2cccc3nonc23)C=CN1,1
467,O=c1cccc2c(c1)CCCc1ccccc1-2,2
